customerId,customername,customeremail,customerpassword,customeraddress1,customeraddress2,zipcode,customerphone,rewardpoints
1,Lynnell,ilorens0@soup.io,nHWkkA6okDt,68 Monterey Junction,,14866,3155606616,0
2,Viki,fbarrar1@1und1.de,l3pCMKP,09 Mifflin Place,,89751,9037148285,0
3,Benny,ghevey2@mapquest.com,6MmNtFS2,39950 Cottonwood Circle,,72124,8501846217,0
4,Lilli,segger3@mtv.com,Xb6S0W,7314 Grim Alley,,96576,7704261672,0
5,Elana,hogles4@infoseek.co.jp,PR1Zb0,873 Service Trail,,20888,2134233053,0
6,Susan,jaccomb5@ox.ac.uk,zZKtqYe62,2066 Caliangt Junction,,26295,5618998319,0
7,Kerianne,gblankman6@nyu.edu,VZbN1sao,1 Anderson Alley,,31610,4055703785,0
8,Claudell,areadings7@columbia.edu,OYmJu5n6VmAJ,6307 Monterey Place,,33395,4159788979,0
9,Mag,cskudder8@fc2.com,l97CWody5Q,7028 Alpine Parkway,,55679,2145659569,0
10,Erika,tdebney9@comcast.net,sBUBbS,8573 Homewood Street,,52741,2051814654,0
11,Becca,mmoseleya@pen.io,FlxhDo,729 Pond Alley,,15804,6126390393,0
12,Cariotta,tchappelowb@pcworld.com,5ZaKVhGhcUKV,78734 Grayhawk Plaza,,54073,8473710474,0
13,Pepi,klammerichc@statcounter.com,4HkE4SDKFRW,3 Upham Way,,34629,8435709697,0
14,Farrel,figgod@clickbank.net,mliLjJ4cvp8,93238 Hintze Court,,13296,5029234579,0
15,Normand,hcallise@narod.ru,8YgxSMWY,7 Caliangt Circle,,57077,6189112281,0
16,Frederik,myeomanf@ask.com,sauXE1WS1,948 Columbus Circle,,29477,9123831702,0
17,Charlie,mgorstidgeg@vkontakte.ru,WcrHYrL,70 Gale Alley,,4728,7066167234,0
18,Raleigh,asadath@webmd.com,1rd2Yk,318 Bartelt Road,,31180,8065154801,0
19,Daron,scrucittii@gnu.org,kgruniP,6 Sullivan Junction,,40199,4078243354,0
20,Roosevelt,jjeayesj@wordpress.com,WyeV7HqAHY,4 Kedzie Point,,27524,8103478438,0
21,Tildie,hcamockk@dell.com,5scLFCAHj,857 Rigney Alley,,97335,6266956165,0
22,Fredi,umaesl@barnesandnoble.com,fVUn6nM,869 Nevada Pass,,75788,6101262373,0
23,Melinde,sgenckem@imageshack.us,QRJSnLHQJ5G,481 Kipling Place,,93855,3866714702,0
24,Mallory,fgrinhamn@is.gd,k64suNPUEqA,974 Tony Street,,91463,5017507484,0
25,Jenny,sparnbyo@scribd.com,zcK4fKri6Dk,9946 Messerschmidt Avenue,,33891,6512159353,0
26,Sherye,fwheatonp@a8.net,WinUCn5ZMNNo,17018 Johnson Pass,,27740,5094861140,0
27,Rodi,cburburyq@yellowpages.com,60XrXMonz,31 Gina Road,,49127,3139701514,0
28,Farra,bmartusewiczr@lulu.com,XyDnYER0Mt,09 Novick Way,,59694,2024356125,0
29,Peyter,dkarels@army.mil,bjgQIqLh,4 Reindahl Avenue,,4054,9411399472,0
30,Reinhard,kshambrooket@china.com.cn,LKro4IHew4,17068 Almo Road,,56007,4195610022,0
31,Josi,xeasenu@msn.com,9QBNmiqYO7,77 Packers Plaza,,98284,3031596963,0
32,Meredith,bcopoziov@census.gov,GFOfPfZ19tY,560 Elgar Place,,16579,3036164336,0
33,Ania,dbressonw@guardian.co.uk,mWpDCFkG,717 Randy Plaza,,13340,6024107353,0
34,Berrie,jtrumblex@nydailynews.com,iPnXeq,07 Alpine Way,,5321,3046736726,0
35,Catrina,hsmeathy@census.gov,AjcFDnvYw,557 Ryan Alley,,337,2023927682,0
36,Roxie,achritchleyz@nymag.com,tbjSGR,94 Carpenter Crossing,,9689,6192887380,0
37,Lewes,gruste10@cdc.gov,VaBUkf5NN2N,19 Mosinee Alley,,37106,9038804933,0
38,Kirby,afilchagin11@ftc.gov,AJOOTC0a1l1e,5 Reinke Terrace,,53891,7278551184,0
39,Sarajane,sseamer12@wisc.edu,lf8sAeb,9 Menomonie Terrace,,25139,9041840984,0
40,Sherie,csavins13@google.com,lZHP3bXo2y1,7406 Waxwing Park,,56757,5136503931,0
41,Miller,rlenham14@yahoo.co.jp,43uwPL,0613 Del Mar Crossing,,31335,2026862145,0
42,Luciana,iyeats15@bloglovin.com,praFoSlv3,86834 Maple Crossing,,57110,5153503814,0
43,Davy,aeykelhof16@mapquest.com,4msa2WV,38 Canary Road,,37731,8047899480,0
44,Flora,jbecken17@merriam-webster.com,Y60bM7U1sjI,4 Springview Drive,,76224,3107011139,0
45,Saunder,rgeany18@devhub.com,1lHW4L,546 Westridge Lane,,9876,8176420953,0
46,Raynell,ashemmans19@columbia.edu,z01GSQ2f9J,88 Kings Way,,88689,6054041087,0
47,Sonny,bboggis1a@w3.org,9S2MTU0X,42 Manley Hill,,13107,5054579196,0
48,Emeline,rpothbury1b@weebly.com,mhlztT,3343 Thierer Center,,70382,9494254846,0
49,Elle,clamkin1c@bizjournals.com,Qqlivq,3 Wayridge Lane,,4204,3022440049,0
50,Barry,amullard1d@lycos.com,YVDCqXA,802 Del Mar Avenue,,13541,7138317527,0
51,Jone,scamerana1e@macromedia.com,MTRR5LSU,3559 Dennis Junction,,59315,7181437795,0
52,Glen,amattack1f@columbia.edu,J2LDv7,318 Northridge Street,,59706,6507739076,0
53,Iona,rharbor1g@disqus.com,CFB0fjN4O,411 Buena Vista Alley,,32901,5123317427,0
54,Lyle,agrimm1h@weibo.com,OPWNCsdb,81634 Ridgeway Park,,12818,2123410213,0
55,Birgit,jingley1i@artisteer.com,yVVuSOqq,8969 Schurz Trail,,8722,8015759104,0
56,Yuri,wfarnaby1j@biglobe.ne.jp,jGB8wECYUE9g,74 Sunfield Center,,57178,3092265939,0
57,Ivonne,mgreir1k@sciencedaily.com,gP71CL,576 Fairview Place,,2930,8596860238,0
58,Allyn,cglasper1l@vkontakte.ru,jnR24yCIr,8 Derek Plaza,,98665,2146358585,0
59,Kerianne,mbirtles1m@senate.gov,9h0hKZvaOBv,932 Fallview Court,,16506,9164423913,0
60,Killie,gwilding1n@hc360.com,iA0KS7T4Ee,72972 Eagan Point,,61761,5024522563,0
61,Joyce,gguarin1o@amazon.de,U1CleDClSX,21572 Oriole Parkway,,73664,3344458408,0
62,Aviva,cmelmar1p@arizona.edu,0hw17V,2325 Kensington Alley,,39031,4025612929,0
63,Ruthy,dsulman1q@pbs.org,FD3RpbhXQ4Eh,392 2nd Lane,,5748,4045687662,0
64,Amanda,shasard1r@ucoz.ru,rmm430D,57 Londonderry Street,,10848,7755393473,0
65,Humfried,tclelland1s@istockphoto.com,Nih781dKZz,1868 Banding Pass,,40428,7169026784,0
66,Ewell,jmacandrew1t@gmpg.org,cLvB3xE4EbxJ,5 Blaine Street,,91338,2175122190,0
67,Clem,fmacdermot1u@issuu.com,dvEP06f,957 Killdeer Court,,14240,9165531817,0
68,Cary,zrolinson1v@msn.com,H7b9dO9gszi5,80 Prairie Rose Terrace,,94413,3098671362,0
69,Denise,nbreadmore1w@a8.net,XSlLf2XSBS2G,808 Clarendon Drive,,5363,7131483958,0
70,Norrie,gohern1x@smh.com.au,y1sipqHmSI,52840 Monica Lane,,86874,9188819389,0
71,Tabitha,rlympenie1y@marketwatch.com,z8vFCQD,3589 Derek Junction,,45806,7169830299,0
72,Ed,hphillpot1z@forbes.com,86GRvyrhMPw,253 Sullivan Street,,86952,5128464204,0
73,Meredith,bbelchamp20@photobucket.com,5vsV6tK,2438 Express Center,,5092,7167542539,0
74,Aundrea,qbanting21@wiley.com,Bz7uz53H,433 Burning Wood Junction,,20459,8148726458,0
75,Bunny,bpattington22@weather.com,8mr1VMoU,18986 Graceland Hill,,39910,2064491309,0
76,Benedetto,gpalfrey23@bluehost.com,wyCpp1jbkJ2,6766 Stang Place,,95163,3155846647,0
77,Vanny,rgrayson24@guardian.co.uk,7Q3HqKmTd3Y,9 Holmberg Alley,,8755,7064394123,0
78,Erroll,tcoulsen25@google.co.uk,CpjQViP3l4,432 Merchant Terrace,,93527,9173953520,0
79,Adela,rugolini26@usatoday.com,pMCIzRP0vtui,5 Texas Court,,18065,5734653411,0
80,Tildi,kcone27@theglobeandmail.com,m9plFVodK,24538 Harbort Avenue,,88318,2138049416,0
81,Hewe,eyter28@paypal.com,oTZ4jT7E3lL,5968 Village Green Point,,29791,4174440127,0
82,Jessie,nmcclymond29@washington.edu,90RDaIb,5 Muir Place,,59147,3055690753,0
83,Rem,ghouse2a@linkedin.com,tYQrEv8zO3qo,17 Haas Crossing,,55275,5093880072,0
84,Merridie,wfarren2b@privacy.gov.au,aUsoW5Eq,71893 Weeping Birch Terrace,,34671,5032833285,0
85,Mitch,ioats2c@amazon.co.uk,t64nCY5sP,0 Division Court,,40203,4088915780,0
86,Niki,lbirds2d@storify.com,bJdoge,156 Acker Center,,83540,3097099942,0
87,Cordelie,tpitford2e@lycos.com,lTF5fd3bybcQ,7 Fisk Junction,,65361,9416553717,0
