vendorId,vendorname,vendoremail,vendorpassword,vendoraddress1,vendoraddress2,zipcode,vendorphone,cuisine,businessType
1,Funk Group,ihenrichs0@globo.com,siuimJCVsN,17 Magdeline Junction,,14866,8607480669,Chinese,Restaurant
2,HamillVonRueden,fcaldecourt1@blogger.com,8NY8qel2fsMc,9430 Ridgeway Avenue,,89751,5719551293,Pakistani,Restaurant
3,Gislason-Kuvalis,gislep2@foxnews.com,vqQPEzW1ta1y,9 Schiller Street,,72124,5408344343,Central American,Restaurant
4,Bogisich LLC,sgambie3@weibo.com,2IeHux4,596 Hazelcrest Point,,96576,2023568521,Aleut,Restaurant
5,Wilderman Group,hsneezum4@weibo.com,5BeA6gm,2849 Granby Terrace,,20888,9161928161,Crow,Restaurant
6,Walsh Inc,jsymondson5@jiathis.com,64QNzfC,78313 Gerald Crossing,,26295,3045215087,Ecuadorian,Restaurant
7,Huels and Windler,gbroome6@freewebs.com,hFAEPPr5Yo,53296 Melvin Park,,31610,7274022012,Nicaraguan,Restaurant
8,Gottlieb-Simonis,abehrendsen7@amazonaws.com,JdpI7q,6262 Gerald Crossing,,33395,5858166604,Honduran,Restaurant
9,Yost and Lebsack,cwinkell8@senate.gov,ONoF5rB,894 Sage Avenue,,55679,2129857100,Ecuadorian,Restaurant
10,Dicki-Schmidt,tstodd9@t-online.de,k1pAll,79951 Melvin Trail,,52741,6027774900,Yuman,Restaurant
11,Anderson and Spencer,mvanhallea@noaa.gov,bxNjmSar7NfA,53 Dryden Drive,,15804,9723390743,Sioux,Restaurant
12,Borer and Sons,tsangwinb@live.com,6PVh8iXcS,4471 Waxwing Center,,54073,8134951250,Menominee,Restaurant
13,McKenzie and Sons,klandrec@washington.edu,rtvgNU8,95916 Pine View Park,,34629,6513881523,Cambodian,Restaurant
14,Zemlak and McCullou,fmilleryd@parallels.com,j833GbSYkgB,13625 Straubel Point,,13296,7066905813,Polynesian,Restaurant
15,Hermann Inc,hdigiacomoe@vk.com,EGzwYQlM,517 Florence Trail,,57077,5748009368,Guamanian,Restaurant
16,Dibbert-Mayer,mwolteringf@shareasale.com,N2wTO8Fl5Tn,23285 Hintze Circle,,29477,9121527704,Colville,Restaurant
17,Goyette and Smitham,mscarreg@pbs.org,MKmOrFfd,958 Prentice Crossing,,4728,3127804796,Colville,Restaurant
18,Renner Group,ascothronh@businessweek.com,mWSi4LeXUN,83 Grayhawk Terrace,,31180,5131805286,Puerto Rican,Restaurant
19,White and Murray,smenchentoni@admin.ch,GZVUpgvSwoA,2 Jana Junction,,40199,2145339115,Puget Sound Salish,Restaurant
20,Hansen and Connelly,jbyngj@ftc.gov,l7tGO4aCxl,48 Gerald Hill,,27524,6083339689,Nicaraguan,Restaurant
21,Hickle and Sons,hgolbournk@apple.com,r84JutCN,6 Raven Circle,,97335,6464329588,Fijian,Restaurant
22,Heller LLC,ugrattenl@technorati.com,4mz5UAvxMZRQ,87 Bay Road,,75788,9189644796,Tongan,Restaurant
23,Reichel-Stracke,ssheirlawm@furl.net,E3Q97JIE8n,3 Sugar Avenue,,93855,2135185464,Nicaraguan,Restaurant
24,Kub Inc,fscatchern@google.com.hk,7WL98gjlC2Q,82 Dahle Point,,91463,6515442421,Eskimo,Restaurant
25,DuBuque and Sons,slaurentyo@woothemes.com,bNCp7an,7339 Autumn Leaf Hill,,33891,5163359407,Creek,Restaurant
26,Wilkinson Inc,fdallicottp@weather.com,YgYC1W6Gvck,0003 Jenifer Park,,27740,2084143195,Spaniard,Restaurant
27,Renner Group,cbasketfieldq@skype.com,oWdapj8Lu,58 Dayton Circle,,49127,7752489470,Guatemalan,Home based
28,Waelchi LLC,bkryszkieciczr@w3.org,ey9BJuWepUJ,94350 Ridgeview Place,,59694,8014205188,Yuman,Home based
29,Hagenes-Cremin,dhunstones@hc360.com,RZAWZ93hi4,13193 Monterey Plaza,,4054,6021796305,Indonesian,Home based
30,Mertz-Schumm,kklamptt@netlog.com,ms0CHpNqD,06 Superior Park,,56007,4145619792,Indonesian,Home based
